"Id","proj_id","repo_name","owner_login","language","n_pr","n_ci_after","n_ci_after_tested"
343,1042189,"webpay","mozilla","Python",567,567,72
344,1085,"flask","mitsuhiko","Python",563,357,337
345,1504740,"webview","Connexions","Python",515,515,512
346,7803,"mezzanine","stephenmcd","Python",557,512,387
347,3934776,"qt-client","xtuple","C++",536,129,123
348,156798,"DGtal","DGtal-team","C++",583,344,323
349,614053,"alaveteli","mysociety","Ruby",522,474,364
350,9459,"cas","Jasig","Java",524,222,214
351,1709,"symfony-docs-fr","symfony-fr","Python",572,49,45
352,5216326,"marathon","mesosphere","Scala",397,377,371
353,3148364,"ralph_assets","allegro","JavaScript",496,489,379
354,1964605,"ardupilot","diydrones","C",460,0,0
355,2956308,"amber","amber-smalltalk","JavaScript",580,394,389
356,12841,"shinken","naparuba","Python",528,74,74
357,3218707,"gaffer","ImageEngine","Python",498,52,52
358,29670,"fabric.js","kangax","JavaScript",538,505,483
359,27439,"mongo-ruby-driver","mongodb","Ruby",533,409,394
360,4959838,"beaker","puppetlabs","Ruby",458,440,304
361,48706,"ESP-Website","learning-unlimited","Python",526,311,310
362,14901,"autotest","autotest","Python",559,107,86
363,9120368,"hound","thoughtbot","Ruby",385,216,216
364,67883,"blaze","ContinuumIO","Python",492,455,444
365,34279,"salt-cloud","saltstack","Python",569,163,161
366,19093,"fuelux","ExactTarget","JavaScript",431,429,365
367,7197777,"micropython","micropython","C",497,253,249
368,7074,"Modernizr","Modernizr","JavaScript",526,422,369
370,9604234,"mercury","Wikia","JavaScript",339,312,301
371,525974,"apps","owncloud","JavaScript",553,160,141
372,3700748,"popcorn.webmaker.org","mozilla","JavaScript",560,555,551
373,937,"grails-core","grails","Java",535,49,35
374,1856,"MopaBootstrapBundle","phiamo","PHP",527,522,384
375,21231,"psychopy","psychopy","Python",474,309,303
376,7078683,"LMIS-Chrome","eHealthAfrica","JavaScript",556,517,497
377,54171,"core","kohana","PHP",530,8,8
378,10040,"mongoose","LearnBoost","JavaScript",470,221,211
379,11624199,"fizteh-java-2014","dkomanov","Java",328,268,252
380,5402577,"dropwizard","dropwizard","Java",483,269,255
382,4234273,"less.js","less","JavaScript",501,80,80
383,6405257,"dkobo","kobotoolbox","Python",481,294,286
384,16444,"easybib-cookbooks","till","Ruby",464,439,433
385,23834,"capybara","jnicklas","Ruby",524,366,262
386,11975,"symfony-standard","symfony","PHP",511,62,26
387,2561674,"junit","junit-team","Java",505,58,55
388,185,"rspec-mocks","rspec","Ruby",471,455,414
389,96553,"sails","balderdashy","JavaScript",482,431,377
390,3296255,"chamilo-lms","chamilo","PHP",424,246,218
391,10679,"fail2ban","fail2ban","Python",475,447,435
392,39075,"cppcheck","danmar","C++",457,351,348
393,42335,"inasafe","AIFDR","Python",330,58,57
394,1173,"scrapy","scrapy","Python",505,446,272
395,1802891,"ilios","ilios","PHP",503,438,426
396,2315,"Spout","SpoutDev","Java",526,47,46
397,5645492,"superdesk-server","superdesk","Python",335,333,329
398,994315,"elliptics","reverbrain","C",519,63,63
399,2367064,"asciidoctor","asciidoctor","Ruby",496,411,401
400,1523,"marketplace-tests","mozilla","Python",489,82,79
401,181526,"sentry","getsentry","Python",477,272,262
402,327962,"growstuff","Growstuff","Ruby",440,377,361
403,6086,"silverstripe-cms","silverstripe","PHP",514,301,294
404,7606238,"encore-ui","rackerlabs","JavaScript",407,400,395
405,9856617,"Kawaz3rd","kawazrepos","Python",336,336,334
406,22981,"Crafty","craftyjs","JavaScript",480,65,63
407,21703,"right_link","rightscale","Ruby",494,7,7
408,2820036,"pixi.js","GoodBoyDigital","JavaScript",421,267,261
409,9119157,"BridgePF","Sage-Bionetworks","Java",307,304,60
410,70480,"uPortal","Jasig","Java",455,315,223
411,1301,"heroku","heroku","Ruby",390,327,261
412,44604,"Limnoria","ProgVal","Python",396,243,216
413,4898514,"aerogear-unifiedpush-server","aerogear","Java",428,428,417
414,2696,"phpunit","sebastianbergmann","PHP",454,233,227
415,20429,"paperclip","thoughtbot","Ruby",488,400,247
416,44168,"mongodb-odm","doctrine","PHP",481,321,234
417,9553148,"SearchWorks","sul-dlss","Ruby",481,481,473
418,8730,"fjord","mozilla","Python",377,0,0
419,4114,"CocoaPods","CocoaPods","Ruby",423,407,349
420,2893590,"open-data-certificate","theodi","JavaScript",452,113,107
421,6304519,"jcabi-github","jcabi","Java",460,102,100
422,8525,"stylus","LearnBoost","JavaScript",472,217,208
423,8221199,"openmw","OpenMW","C++",352,330,323
424,8970485,"OpenRCT2","IntelOrca","C",356,146,142
425,107599,"rootpy","rootpy","Python",488,473,471
426,931243,"adhocracy","liqd","Python",487,389,313
427,114,"zepto","madrobby","JavaScript",474,220,172
428,26666,"Elastica","ruflin","PHP",435,354,258
429,608,"errbit","errbit","Ruby",431,389,173
430,4706454,"protractor","angular","JavaScript",389,307,298
431,5351802,"hashstack","hashdist","Python",358,345,341
432,2861886,"avalon","avalonmediasystem","JavaScript",404,33,32
433,3123774,"vhs","FluidTYPO3","PHP",446,356,353
434,7748273,"wagtail","torchbox","Python",374,360,357
435,20786,"bosh","cloudfoundry","Ruby",450,443,427
436,9550562,"beaker-notebook","twosigma","JavaScript",320,209,206
437,19535,"pybossa","PyBossa","Python",418,387,376
438,1029082,"picketlink","picketlink","Java",432,240,70
439,7975316,"geomesa","locationtech","Scala",349,349,340
440,5626,"beets","sampsyo","Python",397,374,342
441,310,"grape","intridea","Ruby",410,402,291
442,3746639,"carrierwave","carrierwaveuploader","Ruby",448,136,133
443,45316,"open-build-service","openSUSE","Ruby",446,395,378
444,296,"abaaso","avoidwork","JavaScript",469,433,421
445,45584,"gallery3","gallery","PHP",468,277,51
446,1912872,"aws-cli","aws","Python",379,375,373
447,5911126,"sulu","sulu-cmf","PHP",286,286,282
448,153369,"ogs","ufz","C++",393,386,384
449,20562,"PDAL","PDAL","C++",319,292,287
450,4090,"luvit","luvit","C",373,301,177
451,8249,"FOSRestBundle","FriendsOfSymfony","PHP",416,349,279
452,3829906,"kat-gui","ChrisBoesch","JavaScript",458,458,438
453,8717081,"DoctrineExtensions","Atlantic18","PHP",443,354,277
454,158585,"XChange","timmolter","Java",383,358,346
455,4403964,"forgottenserver","otland","C++",417,415,407
456,46959,"phpcr-odm","doctrine","PHP",447,368,310
457,54701,"lorsource","maxcom","Java",441,196,196
458,7723296,"olympia","mozilla","Python",357,170,169
459,36713,"node-mongodb-native","mongodb","JavaScript",417,240,35
460,20386,"rspec-expectations","rspec","Ruby",404,377,345
461,2727,"jquery-validation","jzaefferer","JavaScript",430,260,256
462,1372730,"dul-hydra","duke-libraries","Ruby",418,418,414
463,1036,"middleman","middleman","Ruby",427,392,251
464,4251,"phpDocumentor2","phpDocumentor","PHP",427,346,269
465,13347,"orbisgis","irstv","Java",426,90,88
466,3656,"bootstrap-datepicker","eternicode","JavaScript",411,264,254
467,6508040,"spotlight","sul-dlss","Ruby",329,329,325
468,101993,"AdmingeneratorGeneratorBundle","symfony2admingenerator","PHP",432,305,282
469,4141934,"mev","dfci-cccb","Java",431,430,415
470,2909122,"tengine","alibaba","C",436,47,46
471,21750,"dipy","nipy","Python",346,323,311
472,71334,"teuthology","ceph","Python",350,0,0
473,7653719,"tp-libvirt","autotest","Python",357,261,261
474,5565502,"bonnie","projecttacoma","Ruby",408,408,405
475,3542506,"windup","windup","Java",299,52,1
476,4612733,"OpenStudio","NREL","C++",384,235,1
477,18104,"guzzle","guzzle","PHP",410,409,361
478,24524,"atk4","atk4","PHP",412,176,173
479,6437914,"ionic","driftyco","JavaScript",365,362,231
480,20849,"blacklight","projectblacklight","Ruby",345,312,308
481,1565,"rspec-rails","rspec","Ruby",377,341,276
482,6785,"tinymce","tinymce","JavaScript",418,78,0
483,11744,"Propel2","propelorm","PHP",400,322,271
484,4059324,"missionhub","CruGlobal","Ruby",384,261,261
485,62586,"ettercap","Ettercap","C",407,256,247
486,3289197,"thimble.webmaker.org","mozilla","JavaScript",419,403,399
487,33666,"wakame-vdc","axsh","Ruby",418,233,1
488,20701,"mantisbt","mantisbt","PHP",401,327,317
489,3150169,"flux","FluidTYPO3","PHP",402,287,282
490,13546,"nbites","northern-bites","C++",424,156,61
491,7289481,"OpenMS","OpenMS","C++",298,286,279
493,81748,"libcloud","apache","Python",351,212,207
494,7106,"wdntemplates","unl","JavaScript",422,97,93
495,22385,"miro","pculture","Python",426,81,22
496,3918,"mrjob","Yelp","Python",414,150,146
497,4909,"cjdns","cjdelisle","C",391,266,249
498,5754,"_s","Automattic","PHP",400,33,32
499,5769828,"stratosphere","stratosphere","Java",421,407,350
500,10224575,"opentxs","Open-Transactions","C++",290,288,154
501,9422,"fish-shell","fish-shell","C++",398,102,101
502,3051792,"habitrpg-shared","HabitRPG","JavaScript",319,297,279
503,21752,"jsdom","tmpvar","JavaScript",380,166,165
